Animal ID,Name,DateTime,MonthYear,Date of Birth,Outcome Type,Outcome Subtype,Animal Type,Sex upon Outcome,Age upon Outcome,Breed,Color
A742354,Artemis,01/22/2017 11:56:00 AM,01/22/2017 11:56:00 AM,01/20/2010,Return to Owner,,Cat,Neutered Male,7 years,Domestic Shorthair Mix,Blue/White
A681036,,06/11/2014 05:11:00 PM,06/11/2014 05:11:00 PM,06/09/2014,Transfer,Partner,Cat,Intact Male,2 days,Domestic Shorthair Mix,Brown Tabby
A803149,*Birch,08/31/2019 04:26:00 PM,08/31/2019 04:26:00 PM,08/08/2019,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair,Brown Tabby
A698049,Luigi,03/16/2015 02:50:00 PM,03/16/2015 02:50:00 PM,06/05/2014,Transfer,Partner,Cat,Spayed Female,9 months,Domestic Medium Hair Mix,Black/White
A773792,,06/05/2018 03:30:00 PM,06/05/2018 03:30:00 PM,05/05/2018,Euthanasia,Suffering,Cat,Intact Male,4 weeks,Domestic Shorthair Mix,Orange Tabby
A725795,,05/03/2016 12:39:00 PM,05/03/2016 12:39:00 PM,04/15/2016,Euthanasia,Underage,Other,Unknown,2 weeks,Opossum,Gray
A730621,*Liza,09/10/2016 06:59:00 PM,09/10/2016 06:59:00 PM,05/18/2016,Adoption,,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Calico
A765349,Einstein,06/08/2018 01:04:00 PM,06/08/2018 01:04:00 PM,01/18/2009,Adoption,Foster,Dog,Neutered Male,9 years,Chihuahua Shorthair Mix,Tricolor
A760697,Star,10/26/2017 03:22:00 PM,10/26/2017 03:22:00 PM,10/23/2007,Transfer,Partner,Dog,Intact Male,10 years,Yorkshire Terrier Mix,Brown/Black
A767231,Millie,02/25/2018 05:19:00 PM,02/25/2018 05:19:00 PM,02/25/2017,Return to Owner,,Dog,Spayed Female,1 year,Jack Russell Terrier/Chihuahua Shorthair,White/Tan
A758536,,09/23/2017 11:09:00 AM,09/23/2017 11:09:00 AM,03/18/2017,Transfer,Snr,Cat,Intact Female,6 months,Domestic Shorthair Mix,Brown Tabby
A754682,Big Girl,07/23/2017 11:58:00 AM,07/23/2017 11:58:00 AM,07/22/2009,Return to Owner,,Dog,Spayed Female,8 years,Great Pyrenees Mix,White
A801106,,08/16/2019 02:05:00 PM,08/16/2019 02:05:00 PM,05/06/2019,Adoption,,Cat,Neutered Male,3 months,Domestic Shorthair,Orange Tabby
A766700,,02/15/2018 08:59:00 AM,02/15/2018 08:59:00 AM,02/15/2017,Euthanasia,Rabies Risk,Other,Unknown,1 year,Bat Mix,Brown
A812473,Theodore Nubbins,03/05/2020 04:15:00 PM,03/05/2020 04:15:00 PM,01/26/2010,Adoption,Foster,Dog,Neutered Male,10 years,Chihuahua Shorthair,Brown
A740079,Terry,12/26/2016 01:45:00 PM,12/26/2016 01:45:00 PM,12/10/2013,Return to Owner,,Dog,Neutered Male,3 years,Australian Cattle Dog Mix,Black/White
A757919,*Tofu,10/05/2017 03:36:00 PM,10/05/2017 03:36:00 PM,09/08/2015,Adoption,,Dog,Spayed Female,2 years,Beagle Mix,Brown/White
A789298,*Mr Wrinkles,04/23/2019 11:59:00 AM,04/23/2019 11:59:00 AM,02/15/2019,Adoption,Foster,Dog,Neutered Male,2 months,Labrador Retriever Mix,Brown/White
A773866,*Nitro,08/23/2018 06:05:00 PM,08/23/2018 06:05:00 PM,06/06/2016,Adoption,,Dog,Neutered Male,2 years,Labrador Retriever/Staffordshire,Black/White
A765701,,01/25/2018 09:39:00 AM,01/25/2018 09:39:00 AM,01/25/2017,Euthanasia,Rabies Risk,Other,Unknown,1 year,Bat Mix,Brown
A699884,,04/03/2015 04:16:00 PM,04/03/2015 04:16:00 PM,04/03/2013,Euthanasia,Suffering,Cat,Unknown,2 years,Domestic Shorthair Mix,Gray
A725530,King,06/09/2016 02:50:00 PM,06/09/2016 02:50:00 PM,10/30/2015,Adoption,,Dog,Neutered Male,7 months,Pit Bull Mix,Brown Brindle/White
A722378,Canine,03/31/2016 07:08:00 PM,03/31/2016 07:08:00 PM,03/15/2010,Return to Owner,,Dog,Neutered Male,6 years,German Shepherd Mix,Brown/Black
A707743,,07/18/2015 09:00:00 AM,07/18/2015 09:00:00 AM,04/17/2015,Transfer,SCRP,Cat,Intact Male,3 months,Domestic Shorthair Mix,Black/White
A681449,Buster,07/02/2014 07:01:00 PM,07/02/2014 07:01:00 PM,06/16/2010,Return to Owner,,Dog,Neutered Male,4 years,Dogo Argentino Mix,White/Brown
A738919,Milo,11/27/2016 05:35:00 PM,11/27/2016 05:35:00 PM,09/23/2016,Adoption,,Dog,Neutered Male,2 months,Black Mouth Cur Mix,Brown/Black
A730464,,07/05/2016 12:47:00 PM,07/05/2016 12:47:00 PM,07/05/2015,Euthanasia,Rabies Risk,Other,Unknown,1 year,Bat,Black/Brown
A805930,*Rachel,11/08/2019 06:37:00 PM,11/08/2019 06:37:00 PM,09/11/2019,Adoption,Foster,Dog,Spayed Female,1 month,Border Collie Mix,Chocolate/White
A672423,Valentine,02/14/2014 11:44:00 AM,02/14/2014 11:44:00 AM,02/10/2002,Transfer,Partner,Dog,Spayed Female,12 years,Collie Rough Mix,Red
A665383,Indica,10/30/2013 04:23:00 PM,10/30/2013 04:23:00 PM,06/19/2013,Adoption,,Dog,Spayed Female,4 months,German Shepherd Mix,Black/Tan
A806497,*Moo,12/17/2019 05:59:00 PM,12/17/2019 05:59:00 PM,06/02/2019,Adoption,,Other,Spayed Female,6 months,Polish,White/White
A754899,Puppy,07/29/2017 05:57:00 PM,07/29/2017 05:57:00 PM,07/26/2012,Adoption,,Dog,Spayed Female,5 years,German Shepherd Mix,Brown/Black
A746498,Zeus,05/03/2017 07:25:00 PM,05/03/2017 07:25:00 PM,04/04/2016,Adoption,,Dog,Neutered Male,1 year,Rat Terrier/Cardigan Welsh Corgi,Black/White
A813785,Snout,02/26/2020 07:45:00 PM,02/26/2020 07:45:00 PM,02/18/2019,Rto-Adopt,,Dog,Neutered Male,1 year,Doberman Pinsch,Black/Brown
A810161,Lizzie,12/19/2019 03:54:00 PM,12/19/2019 03:54:00 PM,10/15/2019,Adoption,,Dog,Spayed Female,2 months,Australian Cattle Dog,Blue Tick/Black
A791163,,03/24/2019 08:22:00 AM,03/24/2019 08:22:00 AM,02/22/2019,Died,In Kennel,Cat,Unknown,4 weeks,Domestic Shorthair Mix,Black/White
A777234,Tyson,01/02/2019 12:00:00 AM,01/02/2019 12:00:00 AM,11/25/2017,Transfer,Partner,Dog,Neutered Male,1 year,Pit Bull Mix,Blue/White
A684009,Big Boy,07/19/2014 06:32:00 PM,07/19/2014 06:32:00 PM,07/18/2012,Return to Owner,,Dog,Neutered Male,2 years,American Staffordshire Terrier Mix,Brown Brindle/White
A757815,,09/07/2017 11:00:00 AM,09/07/2017 11:00:00 AM,09/07/2015,Euthanasia,Rabies Risk,Other,Unknown,2 years,Raccoon,Gray/Black
A792258,Vesper,04/10/2019 08:53:00 PM,04/10/2019 08:53:00 PM,09/08/2016,Adoption,,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Tortie
A802723,*Linguine,09/20/2019 06:27:00 PM,09/20/2019 06:27:00 PM,07/09/2019,Adoption,Foster,Dog,Spayed Female,2 months,Miniature Poodle Mix,Tan
A705205,*Dell,06/20/2015 04:25:00 PM,06/20/2015 04:25:00 PM,03/30/2015,Adoption,Offsite,Cat,Neutered Male,2 months,Domestic Shorthair Mix,White/Blue Tabby
A689228,Louie,12/05/2014 03:55:00 PM,12/05/2014 03:55:00 PM,06/01/2014,Adoption,,Dog,Neutered Male,6 months,Dachshund/Chihuahua Shorthair,Sable/Tan
A688837,*Sterling,10/13/2014 06:14:00 PM,10/13/2014 06:14:00 PM,09/24/2013,Adoption,,Dog,Neutered Male,1 year,Chihuahua Shorthair Mix,Tan/White
A634392,Junior,03/24/2018 03:56:00 PM,03/24/2018 03:56:00 PM,08/11/2009,Return to Owner,,Dog,Neutered Male,8 years,Standard Schnauzer/Miniature Poodle,White
A736717,Max,10/21/2016 02:45:00 PM,10/21/2016 02:45:00 PM,10/16/2013,Return to Owner,,Dog,Neutered Male,3 years,Pug Mix,Brown Brindle
A766886,Lola,02/26/2018 05:53:00 PM,02/26/2018 05:53:00 PM,02/18/2017,Adoption,,Dog,Spayed Female,1 year,Labrador Retriever Mix,Brown/Brown
A817863,*Beef,06/04/2020 02:45:00 PM,06/04/2020 02:45:00 PM,05/27/2018,Adoption,,Dog,Neutered Male,2 years,American Bulldog,Brown Brindle/White
A767796,*Koko,06/20/2019 02:18:00 PM,06/20/2019 02:18:00 PM,12/06/2017,Transfer,Partner,Dog,Spayed Female,1 year,American Pit Bull Terrier Mix,Brown/White
A777606,Bobo,08/07/2018 05:25:00 PM,08/07/2018 05:25:00 PM,07/31/2011,Adoption,,Dog,Neutered Male,7 years,Chihuahua Shorthair Mix,Tricolor
A805948,Blue,10/04/2019 11:25:00 AM,10/04/2019 11:25:00 AM,10/04/2017,Return to Owner,,Dog,Intact Male,2 years,Siberian Husky,Black/Gray
A702919,,05/21/2015 01:32:00 PM,05/21/2015 01:32:00 PM,04/04/2015,Transfer,Partner,Cat,Intact Male,1 month,Domestic Shorthair Mix,Blue
A696409,*Hans,02/09/2015 06:46:00 PM,02/09/2015 06:46:00 PM,11/19/2014,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black
A688758,,09/23/2014 01:21:00 PM,09/23/2014 01:21:00 PM,09/13/2014,Transfer,Partner,Cat,Intact Male,1 weeks,Domestic Shorthair Mix,Black/White
A795325,,05/21/2019 05:10:00 PM,05/21/2019 05:10:00 PM,03/19/2019,Adoption,,Dog,Spayed Female,2 months,Labrador Retriever,Black
A778589,,09/26/2018 10:04:00 AM,09/26/2018 10:04:00 AM,07/02/2018,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Cream Tabby
A734055,,09/01/2016 08:05:00 AM,09/01/2016 08:05:00 AM,08/31/2015,Euthanasia,Rabies Risk,Other,Unknown,1 year,Bat Mix,Brown
A709257,,08/07/2015 08:35:00 AM,08/07/2015 08:35:00 AM,08/06/2014,Euthanasia,Rabies Risk,Other,Unknown,1 year,Bat Mix,Black
A781976,*Fancy,10/16/2018 02:25:00 PM,10/16/2018 02:25:00 PM,10/08/2017,Transfer,Partner,Dog,Intact Female,1 year,German Shepherd Mix,White
A751447,Bowser,06/16/2017 06:29:00 PM,06/16/2017 06:29:00 PM,06/08/2014,Adoption,,Dog,Neutered Male,3 years,Beagle Mix,Brown/White
A643424,Patches,10/30/2015 05:23:00 PM,10/30/2015 05:23:00 PM,12/09/2009,Return to Owner,,Cat,Neutered Male,5 years,Domestic Shorthair Mix,Black/White
A791702,Cooper,04/04/2019 04:13:00 PM,04/04/2019 04:13:00 PM,01/20/2019,Adoption,,Dog,Neutered Male,2 months,Labrador Retriever Mix,Brown/White
A727851,,05/26/2016 06:09:00 PM,05/26/2016 06:09:00 PM,05/26/2014,Euthanasia,Rabies Risk,Other,Unknown,2 years,Bat Mix,Brown/Black
A748126,,05/15/2017 03:40:00 PM,05/15/2017 03:40:00 PM,04/29/2016,Transfer,Partner,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Brown Tabby
A664941,Tequila,10/12/2013 06:14:00 PM,10/12/2013 06:14:00 PM,10/11/2009,Return to Owner,,Dog,Spayed Female,4 years,Pit Bull Mix,Red/White
A657197,Gecko,10/09/2013 01:15:00 PM,10/09/2013 01:15:00 PM,05/12/2013,Adoption,,Cat,Neutered Male,4 months,Domestic Shorthair Mix,Brown Tabby
A809230,*Moo,11/24/2019 04:36:00 PM,11/24/2019 04:36:00 PM,11/21/2015,Adoption,,Dog,Neutered Male,4 years,Siberian Husky,Gray/White
A783412,*Yams,12/16/2018 12:45:00 PM,12/16/2018 12:45:00 PM,10/30/2008,Adoption,,Cat,Neutered Male,10 years,Domestic Shorthair Mix,Black
A686459,*Lovey,09/21/2014 05:39:00 PM,09/21/2014 05:39:00 PM,07/15/2014,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Tortie
A742736,Astro,01/31/2017 05:02:00 PM,01/31/2017 05:02:00 PM,05/01/2016,Adoption,,Dog,Neutered Male,9 months,Yorkshire Terrier/Miniature Poodle,Brown/Gray
A727627,Cesar,05/26/2016 05:13:00 PM,05/26/2016 05:13:00 PM,05/23/2015,Return to Owner,,Dog,Neutered Male,1 year,Pit Bull Mix,Brown Brindle/White
A790321,Prince,03/10/2019 05:37:00 PM,03/10/2019 05:37:00 PM,03/10/2010,Return to Owner,,Dog,Intact Male,9 years,Miniature Schnauzer Mix,Black
A679096,Copper,12/22/2015 11:50:00 AM,12/22/2015 11:50:00 AM,05/16/2007,Adoption,Foster,Dog,Neutered Male,8 years,Miniature Pinscher Mix,Red
A799580,*Roger Rabbit,08/19/2019 07:09:00 PM,08/19/2019 07:09:00 PM,05/10/2019,Adoption,,Cat,Neutered Male,3 months,Domestic Shorthair,Blue Tabby/White
A716376,,12/17/2015 11:33:00 AM,12/17/2015 11:33:00 AM,10/18/2015,Adoption,Foster,Dog,Spayed Female,1 month,Boxer Mix,Red/White
A671125,,01/20/2014 06:32:00 PM,01/20/2014 06:32:00 PM,11/03/2013,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby/White
A755735,Baby,08/15/2017 11:46:00 AM,08/15/2017 11:46:00 AM,08/08/2013,Return to Owner,,Dog,Spayed Female,4 years,Australian Cattle Dog,Blue Merle
A697910,Boris,06/23/2015 01:38:00 PM,06/23/2015 01:38:00 PM,03/03/2013,Return to Owner,,Cat,Neutered Male,2 years,Domestic Medium Hair Mix,Orange Tabby/White
A687056,,08/31/2014 09:00:00 AM,08/31/2014 09:00:00 AM,03/30/2014,Transfer,SCRP,Cat,Intact Male,5 months,Domestic Shorthair Mix,Orange Tabby
A685566,,08/10/2014 07:11:00 PM,08/10/2014 07:11:00 PM,06/09/2014,Adoption,,Dog,Spayed Female,2 months,Catahoula/Pointer,Brown Merle/White
A666111,*Jerry,10/29/2013 06:47:00 PM,10/29/2013 06:47:00 PM,07/29/2013,Adoption,,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Orange Tabby/White
A807106,Wendell,07/23/2020 05:46:00 PM,07/23/2020 05:46:00 PM,03/20/2019,Adoption,,Dog,Neutered Male,1 year,Standard Poodle,Silver
A785591,Luke,03/09/2019 11:49:00 AM,03/09/2019 11:49:00 AM,09/11/2017,Adoption,,Dog,Neutered Male,1 year,Labrador Retriever Mix,Brown/White
A707921,Debo,07/21/2015 03:01:00 PM,07/21/2015 03:01:00 PM,08/14/2011,Return to Owner,,Dog,Intact Male,3 years,Pit Bull Mix,Red/White
A718784,*Marigold,01/12/2016 11:52:00 AM,01/12/2016 11:52:00 AM,10/07/2015,Adoption,,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Brown Tabby/White
A675548,,03/29/2014 08:42:00 AM,03/29/2014 08:42:00 AM,03/01/2014,Euthanasia,Rabies Risk,Other,Unknown,4 weeks,Bat,Brown/Black
A676323,,05/23/2014 12:24:00 PM,05/23/2014 12:24:00 PM,03/21/2014,Adoption,,Dog,Spayed Female,2 months,Australian Cattle Dog Mix,Tricolor
A808862,Big Papi,11/18/2019 12:23:00 PM,11/18/2019 12:23:00 PM,11/14/2018,Transfer,Partner,Dog,Intact Male,1 year,Miniature Poodle Mix,Apricot
A707253,Goowa,01/29/2016 04:57:00 PM,01/29/2016 04:57:00 PM,07/10/2012,Transfer,Partner,Dog,Neutered Male,3 years,Pit Bull Mix,Apricot/Brown
A721165,*Nelson,02/26/2016 09:13:00 PM,02/26/2016 09:13:00 PM,02/22/2015,Adoption,,Dog,Neutered Male,1 year,Pit Bull Mix,Brown/White
A819227,Agou,06/30/2020 06:52:00 PM,06/30/2020 06:52:00 PM,06/24/2018,Rto-Adopt,,Dog,Spayed Female,2 years,Great Pyrenees,White
A685823,Walker,08/15/2014 05:17:00 PM,08/15/2014 05:17:00 PM,08/13/2011,Return to Owner,,Dog,Neutered Male,3 years,Pit Bull Mix,Black/White
A805622,Sadie,12/05/2019 12:02:00 PM,12/05/2019 12:02:00 PM,03/29/2018,Adoption,,Dog,Spayed Female,1 year,German Shepherd Mix,Black/Tan
A651995,*Sugar,07/02/2018 03:34:00 PM,07/02/2018 03:34:00 PM,10/18/2011,Adoption,Foster,Dog,Spayed Female,6 years,Staffordshire Mix,Brown/White
A769199,Sophia,04/03/2018 04:33:00 PM,04/03/2018 04:33:00 PM,04/01/2016,Return to Owner,,Dog,Intact Female,2 years,Dachshund Mix,Black/Tan
A824550,,10/16/2020 02:11:00 PM,10/16/2020 02:11:00 PM,09/16/2020,Transfer,Partner,Cat,Intact Male,4 weeks,Domestic Shorthair,Blue
A696539,Jasper,02/14/2015 04:36:00 PM,02/14/2015 04:36:00 PM,11/06/2014,Adoption,,Dog,Neutered Male,3 months,Australian Cattle Dog Mix,Tan/White
A791899,,04/05/2019 07:36:00 PM,04/05/2019 07:36:00 PM,04/02/2018,Transfer,Snr,Cat,Intact Female,1 year,Siamese Mix,Tortie Point
A725540,*Tiny,05/02/2016 01:32:00 PM,05/02/2016 01:32:00 PM,04/08/2016,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Brown Tabby/White
A782089,,10/10/2018 09:00:00 PM,10/10/2018 09:00:00 PM,10/10/2016,Euthanasia,Suffering,Cat,Intact Female,2 years,Domestic Shorthair Mix,Tan/Black
A739966,*Skippyjohn,02/10/2017 07:34:00 AM,02/10/2017 07:34:00 AM,11/09/2016,Adoption,Foster,Cat,Neutered Male,3 months,Siamese Mix,Seal Point
A808447,Elle,12/04/2019 02:45:00 PM,12/04/2019 02:45:00 PM,05/08/2019,Adoption,,Dog,Intact Female,6 months,Labrador Retriever,Black
A729355,*Bridget,06/24/2016 02:31:00 PM,06/24/2016 02:31:00 PM,02/11/2016,Transfer,Partner,Cat,Intact Female,4 months,Domestic Shorthair Mix,Torbie/Brown Tabby
A679609,,05/23/2014 04:24:00 PM,05/23/2014 04:24:00 PM,04/17/2014,Transfer,Partner,Dog,Intact Female,1 month,Pit Bull Mix,Brown/White
A766831,Lucky,02/19/2018 12:30:00 PM,02/19/2018 12:30:00 PM,02/17/2016,Return to Owner,,Dog,Intact Male,2 years,Great Pyrenees Mix,White/Black
A706892,Penny,02/24/2016 06:32:00 PM,02/24/2016 06:32:00 PM,07/05/2012,Adoption,,Dog,Spayed Female,3 years,German Shepherd Mix,Tan/Black
A687681,,09/08/2014 06:53:00 PM,09/08/2014 06:53:00 PM,09/03/2014,Transfer,Partner,Cat,Unknown,5 days,Domestic Shorthair Mix,Blue Tabby
A726716,*Montana,12/20/2016 09:59:00 AM,12/20/2016 09:59:00 AM,05/13/2015,Adoption,Foster,Dog,Neutered Male,1 year,Pit Bull Mix,Brown Brindle/White
A692534,Lareine,11/28/2014 04:58:00 PM,11/28/2014 04:58:00 PM,11/22/2013,Adoption,,Dog,Spayed Female,1 year,Queensland Heeler/Pointer,Blue Tick
A767252,Amy,03/04/2019 07:15:00 PM,03/04/2019 07:15:00 PM,01/26/2010,Return to Owner,,Dog,Spayed Female,9 years,Chihuahua Shorthair Mix,Tricolor/White
A781920,Binz,10/08/2018 11:17:00 AM,10/08/2018 11:17:00 AM,10/08/2016,Return to Owner,,Dog,Neutered Male,2 years,American Bulldog Mix,White/Gray
A764556,Cash,01/01/2018 04:43:00 PM,01/01/2018 04:43:00 PM,05/22/2011,Return to Owner,,Dog,Intact Male,6 years,Labrador Retriever Mix,Black
A666702,*Farley,01/12/2015 02:17:00 PM,01/12/2015 02:17:00 PM,03/06/2013,Adoption,,Dog,Neutered Male,1 year,Catahoula Mix,Brown Brindle/White
A652101,Stella,01/06/2016 06:56:00 PM,01/06/2016 06:56:00 PM,04/20/2011,Return to Owner,,Dog,Spayed Female,4 years,Pit Bull/Chow Chow,Tan/White
A727902,*Jake,06/06/2016 07:48:00 PM,06/06/2016 07:48:00 PM,05/27/2010,Adoption,,Dog,Neutered Male,6 years,Pug Mix,Black/White
A805553,,10/01/2019 05:17:00 PM,10/01/2019 05:17:00 PM,05/28/2019,Adoption,,Dog,Spayed Female,4 months,Beagle/Dachshund,Black/Tricolor
A810834,Amigo,01/14/2020 01:54:00 PM,01/14/2020 01:54:00 PM,12/21/2017,Transfer,Partner,Dog,Neutered Male,2 years,Pit Bull/Australian Cattle Dog,Chocolate/Tan
A789482,Mclaren,02/26/2019 04:21:00 PM,02/26/2019 04:21:00 PM,12/18/2018,Adoption,,Dog,Neutered Male,2 months,Boxer/Australian Cattle Dog,Brown Brindle/White
A661916,Bella,04/02/2014 05:42:00 PM,04/02/2014 05:42:00 PM,08/27/2011,Euthanasia,Aggressive,Dog,Spayed Female,2 years,Pit Bull Mix,White/Brown
A801634,Simba,10/15/2019 06:21:00 PM,10/15/2019 06:21:00 PM,04/06/2019,Adoption,,Cat,Neutered Male,6 months,Domestic Shorthair Mix,White/Brown Tabby
A783891,Elizabeth T,01/16/2019 11:28:00 AM,01/16/2019 11:28:00 AM,11/08/2015,Adoption,Foster,Dog,Spayed Female,3 years,Border Terrier,Black/Tan
A771760,,05/12/2018 07:32:00 PM,05/12/2018 07:32:00 PM,05/09/2017,Transfer,Snr,Cat,Intact Female,1 year,Domestic Shorthair Mix,Brown Tabby
A747746,*Hops,05/28/2017 05:44:00 PM,05/28/2017 05:44:00 PM,04/24/2016,Adoption,,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Brown Tabby/White
A681272,Chucky,06/17/2014 01:29:00 PM,06/17/2014 01:29:00 PM,06/14/2011,Transfer,Partner,Dog,Neutered Male,3 years,Chihuahua Shorthair Mix,Brown
A711258,Cash,11/03/2015 07:38:00 PM,11/03/2015 07:38:00 PM,09/04/2012,Adoption,,Dog,Neutered Male,3 years,Boxer Mix,White/Brown Brindle
A697903,,03/04/2015 09:00:00 AM,03/04/2015 09:00:00 AM,11/18/2014,Transfer,SCRP,Cat,Unknown,3 months,Siamese Mix,Lynx Point
A689065,,09/29/2014 01:08:00 PM,09/29/2014 01:08:00 PM,08/09/2014,Transfer,Partner,Dog,Intact Female,1 month,Flat Coat Retriever/Pit Bull,Buff
A676139,*Iona,03/08/2017 07:51:00 AM,03/08/2017 07:51:00 AM,04/09/2008,Adoption,Foster,Cat,Spayed Female,8 years,Domestic Shorthair Mix,Brown Tabby/White
A676256,Maxey,04/07/2014 06:49:00 PM,04/07/2014 06:49:00 PM,04/07/1999,Return to Owner,,Cat,Spayed Female,15 years,Domestic Shorthair Mix,Torbie
A667657,Rye,12/01/2013 01:10:00 PM,12/01/2013 01:10:00 PM,11/20/2006,Adoption,,Dog,Neutered Male,7 years,Mastiff Mix,Brown Brindle/White
A798215,,06/24/2019 06:06:00 PM,06/24/2019 06:06:00 PM,06/23/2017,Euthanasia,Rabies Risk,Other,Unknown,2 years,Raccoon,Brown/Black
A774385,,06/30/2018 04:45:00 PM,06/30/2018 04:45:00 PM,04/07/2018,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby
A771075,,06/23/2018 08:16:00 PM,06/23/2018 08:16:00 PM,04/15/2018,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Brown Tabby
A679944,,06/01/2014 05:40:00 PM,06/01/2014 05:40:00 PM,05/28/2012,Transfer,Partner,Dog,Spayed Female,2 years,Cairn Terrier Mix,White/Buff
A698183,*Eleanor,03/12/2015 04:13:00 PM,03/12/2015 04:13:00 PM,03/06/2013,Euthanasia,Suffering,Dog,Intact Female,2 years,Pit Bull Mix,Brown Brindle
A729125,Auburn,06/19/2016 04:36:00 PM,06/19/2016 04:36:00 PM,07/13/2015,Adoption,,Dog,Spayed Female,11 months,Golden Retriever/Bearded Collie,Red/White
A726827,Sweet Pea,05/29/2017 05:07:00 PM,05/29/2017 05:07:00 PM,04/15/2016,Adoption,,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Torbie
A662741,*Todd,10/05/2013 12:42:00 PM,10/05/2013 12:42:00 PM,08/11/2013,Transfer,Partner,Cat,Intact Male,1 month,Domestic Shorthair Mix,Black
A796941,*Carrot,08/03/2019 02:40:00 PM,08/03/2019 02:40:00 PM,04/27/2019,Adoption,Foster,Cat,Neutered Male,3 months,Domestic Shorthair,Cream Tabby
A718387,*Jack Frost,01/16/2016 04:12:00 PM,01/16/2016 04:12:00 PM,12/29/2006,Adoption,,Dog,Neutered Male,9 years,American Eskimo Mix,Cream
A737776,,11/08/2016 06:16:00 PM,11/08/2016 06:16:00 PM,01/04/2016,Adoption,,Dog,Spayed Female,10 months,Yorkshire Terrier Mix,Black/Brown
A767108,Dotty,05/06/2018 07:36:00 PM,05/06/2018 07:36:00 PM,02/23/2015,Adoption,,Dog,Spayed Female,3 years,Boston Terrier Mix,White/Blue
A792484,Taros,05/31/2020 01:00:00 PM,05/31/2020 01:00:00 PM,04/11/2018,Adoption,,Dog,Neutered Male,2 years,German Shepherd Mix,Cream
A731104,*Zakarin,09/20/2016 11:28:00 AM,09/20/2016 11:28:00 AM,04/20/2016,Adoption,Foster,Cat,Neutered Male,5 months,Domestic Shorthair Mix,Orange Tabby
A784970,Ziggy,03/16/2019 11:31:00 AM,03/16/2019 11:31:00 AM,05/24/2018,Return to Owner,,Dog,Neutered Male,9 months,Pit Bull Mix,White/Black
A771103,,06/23/2018 05:45:00 PM,06/23/2018 05:45:00 PM,03/16/2018,Adoption,Foster,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Blue
A777152,,07/24/2018 12:00:00 AM,07/24/2018 12:00:00 AM,07/20/2018,Transfer,Partner,Cat,Unknown,4 days,Domestic Shorthair Mix,Brown Tabby
